,precision,recall,f1-score,support
cardboard,0.8810975609756098,0.8704819277108434,0.8757575757575757,332.0
glass,0.9589442815249267,0.872,0.9134078212290503,375.0
metal,0.9288025889967637,0.9198717948717948,0.9243156199677939,312.0
paper,0.886685552407932,0.8994252873563219,0.8930099857346647,348.0
plastic,0.8367875647668394,0.938953488372093,0.8849315068493151,344.0
trash,0.9512195121951219,0.936,0.9435483870967742,375.0
accuracy,0.9060402684563759,0.9060402684563759,0.9060402684563759,0.9060402684563759
macro avg,0.907256176811199,0.9061220830518422,0.905828482772529,2086.0
weighted avg,0.9084581568426001,0.9060402684563759,0.9063664813497022,2086.0
