,precision,recall,f1-score,support
cardboard,0.5503080082135524,0.8072289156626506,0.6544566544566545,332.0
glass,0.745819397993311,0.5946666666666667,0.6617210682492581,375.0
metal,0.663003663003663,0.5801282051282052,0.6188034188034188,312.0
paper,0.696969696969697,0.5948275862068966,0.641860465116279,348.0
plastic,0.5935672514619883,0.5901162790697675,0.5918367346938775,344.0
trash,0.595360824742268,0.616,0.6055045871559633,375.0
accuracy,0.6294343240651965,0.6294343240651965,0.6294343240651965,0.6294343240651965
macro avg,0.6408381403974134,0.6304946087890311,0.6290304880792419,2086.0
weighted avg,0.6420108217441338,0.6294343240651965,0.6292019057135153,2086.0
